58052.2957	RA= 0.372477326	DEC= 0.179719822	vx(km/s)= 43.0368131	vy(km/s)= 1.7716299	vz(km/s)= 16.2276048
58052.2994	RA= 0.372455693	DEC= 0.179733014	vx(km/s)= 43.0368131	vy(km/s)= 1.7716299	vz(km/s)= 16.2276048
58052.3004	RA= 0.372450302	DEC= 0.179736302	vx(km/s)= 43.0368131	vy(km/s)= 1.7716299	vz(km/s)= 16.2276048
58052.3091	RA= 0.372399434	DEC= 0.179767323	vx(km/s)= 43.0368131	vy(km/s)= 1.7716299	vz(km/s)= 16.2276048
58052.3097	RA= 0.372396133	DEC= 0.179769336	vx(km/s)= 43.0368131	vy(km/s)= 1.7716299	vz(km/s)= 16.2276048
58052.3128	RA= 0.372377677	DEC= 0.179780591	vx(km/s)= 43.0368131	vy(km/s)= 1.7716299	vz(km/s)= 16.2276048
58052.3166	RA= 0.372356124	DEC= 0.179793734	vx(km/s)= 43.0368131	vy(km/s)= 1.7716299	vz(km/s)= 16.2276048
58052.8209	RA= 0.369446105	DEC= 0.181567013	vx(km/s)= 42.9414759	vy(km/s)= 1.73458417	vz(km/s)= 16.2092065
58052.8331	RA= 0.369376531	DEC= 0.181609378	vx(km/s)= 42.9414759	vy(km/s)= 1.73458417	vz(km/s)= 16.2092065
58052.8453	RA= 0.369306919	DEC= 0.181651764	vx(km/s)= 42.8942892	vy(km/s)= 1.71634333	vz(km/s)= 16.2000502
58052.8929	RA= 0.369034896	DEC= 0.181817385	vx(km/s)= 42.8942892	vy(km/s)= 1.71634333	vz(km/s)= 16.2000502
58052.8958	RA= 0.36901845	DEC= 0.181827398	vx(km/s)= 42.8942892	vy(km/s)= 1.71634333	vz(km/s)= 16.2000502
58052.8967	RA= 0.369012968	DEC= 0.181830735	vx(km/s)= 42.8942892	vy(km/s)= 1.71634333	vz(km/s)= 16.2000502
58052.8996	RA= 0.368996524	DEC= 0.181840746	vx(km/s)= 42.8942892	vy(km/s)= 1.71634333	vz(km/s)= 16.2000502
58053.1304	RA= 0.367684611	DEC= 0.182639166	vx(km/s)= 42.8474192	vy(km/s)= 1.69828698	vz(km/s)= 16.1909225
58053.147	RA= 0.367590798	DEC= 0.182696239	vx(km/s)= 42.8474192	vy(km/s)= 1.69828698	vz(km/s)= 16.1909225
58053.1638	RA= 0.367495728	DEC= 0.182754075	vx(km/s)= 42.8474192	vy(km/s)= 1.69828698	vz(km/s)= 16.1909225
58053.2163	RA= 0.367199271	DEC= 0.182934405	vx(km/s)= 42.8474192	vy(km/s)= 1.69828698	vz(km/s)= 16.1909225
58053.2483	RA= 0.367018695	DEC= 0.183044234	vx(km/s)= 42.8008625	vy(km/s)= 1.68041255	vz(km/s)= 16.1818235
58053.2693	RA= 0.366900134	DEC= 0.18311634	vx(km/s)= 42.8008625	vy(km/s)= 1.68041255	vz(km/s)= 16.1818235
58053.2829	RA= 0.366823769	DEC= 0.18316278	vx(km/s)= 42.8008625	vy(km/s)= 1.68041255	vz(km/s)= 16.1818235
58053.2854	RA= 0.366809557	DEC= 0.183171423	vx(km/s)= 42.8008625	vy(km/s)= 1.68041255	vz(km/s)= 16.1818235
58053.2891	RA= 0.366788696	DEC= 0.183184109	vx(km/s)= 42.8008625	vy(km/s)= 1.68041255	vz(km/s)= 16.1818235
58053.2928	RA= 0.366767904	DEC= 0.183196754	vx(km/s)= 42.8008625	vy(km/s)= 1.68041255	vz(km/s)= 16.1818235
58053.3045	RA= 0.366701697	DEC= 0.183237014	vx(km/s)= 42.8008625	vy(km/s)= 1.68041255	vz(km/s)= 16.1818235
58053.3302	RA= 0.366557318	DEC= 0.183324807	vx(km/s)= 42.8008625	vy(km/s)= 1.68041255	vz(km/s)= 16.1818235
58053.3818	RA= 0.366267304	DEC= 0.183501135	vx(km/s)= 42.8008625	vy(km/s)= 1.68041255	vz(km/s)= 16.1818235
58053.7865	RA= 0.364010065	DEC= 0.184872654	vx(km/s)= 42.7086763	vy(km/s)= 1.64519926	vz(km/s)= 16.1637115
58053.8678	RA= 0.363560531	DEC= 0.185145607	vx(km/s)= 42.6630403	vy(km/s)= 1.62785548	vz(km/s)= 16.1546986
